20211222	13:29:26 	e934ac89-fc2e-4bc9-b7cb-eb05dde95736	/	GET
25/12/2021	14:17:15 	5ab167e0-6545-4faf-85af-afadd4fa5dc1	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:17:20 	72348475-66b2-4d2f-90e7-235def39110a	[Method: GET]	[Origin: undefined]	[URL: /new-page]
25/12/2021	14:17:20 	7ecf2643-0711-4136-ba4f-135f63032d91	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:17:20 	ece66a8e-4818-435b-97b2-823232069d67	[Method: GET]	[Origin: undefined]	[URL: /img/img1.jpg]
25/12/2021	14:17:40 	3a75f1e0-d5b7-4dd2-bb83-0de774702ee3	[Method: GET]	[Origin: undefined]	[URL: /old-page]
25/12/2021	14:17:40 	b820bdb0-e876-4e54-9342-00a67f44812c	[Method: GET]	[Origin: undefined]	[URL: /new-page.html]
25/12/2021	14:17:40 	b9fc074c-4532-4212-8c02-81f3b741decf	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:17:40 	0b39d800-a0e2-4200-b435-59e350f8163d	[Method: GET]	[Origin: undefined]	[URL: /img/img1.jpg]
25/12/2021	14:17:47 	289d0a61-bcf2-4bc4-8537-730b24dd3dbf	[Method: GET]	[Origin: undefined]	[URL: /index]
25/12/2021	14:17:47 	b2087d7e-e0cc-4dd1-9293-7f017509a849	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:52:53 	4fd1f240-2f88-4a94-815c-9af281d09503	[Method: GET]	[Origin: undefined]	[URL: /employees]
25/12/2021	14:54:12 	471beaae-1b4d-4fdd-81f8-c74f43173853	[Method: GET]	[Origin: undefined]	[URL: /Dave%20Gray%20Node%20and%20Express%20tut/employees]
25/12/2021	14:54:19 	cfe5b11e-f7fa-4e7e-8cac-33b3df2c4f6f	[Method: GET]	[Origin: undefined]	[URL: /Dave%20Gray%20Node%20and%20Express%20tut/employees]
25/12/2021	14:54:36 	bcbf6c51-f7c9-4c71-af15-469f298ca174	[Method: GET]	[Origin: undefined]	[URL: /]
25/12/2021	14:54:36 	43326846-cd00-4b08-9653-ceca93903737	[Method: GET]	[Origin: undefined]	[URL: /css/style.css]
25/12/2021	14:55:31 	e7052da2-f248-4175-9fb1-96e124fed14d	[Method: GET]	[Origin: undefined]	[URL: /subdir]
25/12/2021	14:55:31 	927f45ee-5323-4485-b77d-ad415123b812	[Method: GET]	[Origin: undefined]	[URL: /subdir/]
25/12/2021	14:57:02 	6bbd83ef-6950-4955-ab0e-fcfc026246b9	[Method: GET]	[Origin: undefined]	[URL: /Dave%20Gray%20Node%20and%20Express%20tut/Routes/api/employee]
25/12/2021	14:57:21 	5ba10bdc-acbb-40df-9afb-e4e8dd8db1dc	[Method: GET]	[Origin: undefined]	[URL: /Routes/api/employee]
25/12/2021	14:57:25 	586219bd-ea35-4586-8f59-52d30b974623	[Method: GET]	[Origin: undefined]	[URL: /api/employee]
25/12/2021	14:57:28 	9b2a3f19-bb8f-4f08-96a3-f7fd52b0ca8d	[Method: GET]	[Origin: undefined]	[URL: /employee]
25/12/2021	14:57:43 	d5bb881e-68de-45cd-aa25-53ea37ecf642	[Method: POST]	[Origin: undefined]	[URL: /employee]
25/12/2021	14:57:47 	857e8e12-1c5f-4a15-8934-223e5cb62f96	[Method: PUT]	[Origin: undefined]	[URL: /employee]
25/12/2021	14:58:07 	165b1f07-1c92-478d-a0df-94cea87f6a07	[Method: DELETE]	[Origin: undefined]	[URL: /employee]
25/12/2021	14:58:09 	086747e7-aa49-4847-aa98-afecedc213ec	[Method: GET]	[Origin: undefined]	[URL: /employee]
25/12/2021	14:59:35 	773e62b4-a932-494a-8667-20b2362b0785	[Method: POST]	[Origin: undefined]	[URL: /employee]
25/12/2021	15:01:34 	51aa54c6-d2f8-4cb3-a697-82827ec158a3	[Method: PUT]	[Origin: undefined]	[URL: /employee]
25/12/2021	15:02:11 	97a242f5-4ca9-44ad-95dc-de8ad9ba9e29	[Method: DELETE]	[Origin: undefined]	[URL: /employee]
25/12/2021	15:02:34 	c254c747-772c-4e8c-94e9-4b8936e9ea30	[Method: GET]	[Origin: undefined]	[URL: /employee/1]
26/12/2021	13:50:21 	42689e12-64b5-4ac9-a668-7fe680cbc65e	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:51:58 	d6e7e54b-a34d-42f0-81cb-48273437fd17	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:53:22 	36cbb441-24a0-4bb1-b751-ddee317cacb8	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:53:43 	39def676-1176-481a-ae1c-5aac3bd4d80f	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:53:51 	87bd58a2-8b16-4c59-9753-5b89debd456b	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:55:08 	27cf330f-ddaa-4a1e-86cf-43f547f01934	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:55:34 	4d528509-7f26-49f6-95d6-88b36226096c	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:55:40 	908a79fd-935e-4018-8a5f-61f15b03252e	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:56:04 	3edc1f70-fbba-4cbd-b094-7e2dcad3b862	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:56:11 	ce45a6a7-81b5-4fd6-bdaa-ea187f5bc69b	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:56:20 	333a8c5d-96be-4a1e-a9d1-4494c9d768dd	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:57:01 	c4678ce2-d0e0-4bbe-b9f1-cdecca8daece	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:58:42 	711ae536-d0c4-4c5e-8169-7cc7c8039e61	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:59:23 	d1698722-e6f0-4529-b654-27e1c14fcca0	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	13:59:44 	ce2fb10e-383c-4b2b-b408-b09755b24ea0	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:09:21 	ab29da3b-8aa9-49f5-bf0f-67e531000ceb	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:10:22 	75f62ff1-d11c-4915-a0e7-180a4805181c	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:11:58 	90ac356d-291f-4476-a570-73f86b3d65b3	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:12:13 	214acbaf-7d91-4855-91cd-7747c0b54b9f	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:13:02 	804d3c4d-9588-44d6-8340-3164a99e6e16	[Method: DELETE]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:13:31 	9bf526ac-61eb-4306-b360-0bdb764f38b0	[Method: DELETE]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:14:41 	ea9a3ae1-2da1-4f8c-9c51-bd440104369a	[Method: PUT]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:16:04 	fcee0dc1-b642-4b5c-889a-23a090db678f	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:16:37 	edd33725-d610-403c-8b4d-53cf79383de9	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:16:39 	ec7896b0-ab8c-4abb-a0f6-1d5473c27734	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:16:40 	1e0a0f01-8bfe-41c2-9f82-9ca2c057a6fe	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:16:40 	0e16a575-b593-4557-a291-f7747994e9e3	[Method: GET]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:17:30 	7c16e4f5-212e-40b1-98a5-d902c583b0f6	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:22:05 	14332614-f15a-47e0-9670-1c194613ea0a	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:23:26 	2d053148-1375-4527-9491-f5d36acdb335	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:24:02 	2556276d-a13d-4377-8e11-fc2bcd06f329	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:24:19 	37a547f0-6f58-415a-b130-1a3665b04d15	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:24:30 	f62114ea-158e-46cd-b05c-25c9d397b838	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:24:55 	b849771b-361a-4eaa-a2bf-83d35f53c122	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:46 	82244a0e-8174-4919-b7fc-0da3370b1f45	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:53 	51dfc93c-63de-4d43-a390-d89d28f1ff26	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:53 	30d85866-12b9-40fc-8af9-2f976847dd0a	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:53 	48189565-4307-4aac-bad0-0027483e277f	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:53 	cf18a904-c184-41e4-b09e-0027898bad1b	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	e95250cb-f5cd-4929-b29b-fc3bcfdd0cfb	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	9468e3b9-85e5-4366-adf2-bf1ff0b243b4	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	085e1f13-908d-4dc6-b519-75f801a40033	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	c959e2a7-89d1-4646-8674-e44064dd5f60	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	a60e7648-5e82-48c5-aa8f-90656b532aed	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:54 	8c3a095f-21bf-4078-8016-5f83ab57bc67	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	f46b8709-7d22-4cc9-9de4-f1a459cb231c	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	0d0899bd-cd07-4618-a39e-931aeaf79b19	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	35045e42-7fd9-47c0-b205-8b623a780271	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	8d19a432-d633-4663-889f-36644ae58f40	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	f74dbad4-3bfd-4c5c-9600-9cf3dc6a38be	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:55 	a21bce1c-ac26-41e7-a437-aac55706458b	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	69a63c89-fc2b-46b6-b8eb-0e1bca8c4641	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	c5c338eb-299b-4e35-b7c2-f55a9567d3b8	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	04fed750-3e6f-4259-8d1b-bf8fa4ab03fd	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	462ec2b8-59d1-49c0-803d-7252ddcfb81f	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	c3896581-3d2d-4549-9b82-48fd52399d3b	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:56 	87cbb81b-824a-4169-8e07-778473f43875	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:57 	27deb5a6-a96e-4966-b853-8292fd2f7d72	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:57 	e7ee7f2d-35b3-45fe-97b0-27179c6e445b	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:25:57 	c2fb6099-09b3-4d03-8e59-4f9bcb594aab	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:26:10 	19be3225-ff2c-422b-b107-2d932ee7e2c7	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:27:47 	52ac6bdd-6ebb-4b8c-9e95-08ae6bcba300	[Method: POST]	[Origin: undefined]	[URL: /employee]
26/12/2021	14:28:09 	650f6d52-70ae-4335-894b-c8ef82dc5bc0	[Method: POST]	[Origin: undefined]	[URL: /employee]
